CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
110000,2012,0.0,2,0.0
110000,2013,0.0,16,0.0
110000,2014,0.0,4,0.0
110000,2015,0.0,4,0.0
110000,2016,0.0,2,0.0
110000,2018,0.0,2,0.0
110000,2019,0.0,1,0.0
110001,2012,7.0,386,0.018134715025906734
110001,2013,4.0,382,0.010471204188481676
110001,2014,9.0,341,0.026392961876832845
110001,2015,9.0,373,0.024128686327077747
110001,2016,7.0,326,0.02147239263803681
110001,2017,7.0,354,0.01977401129943503
110001,2018,8.0,408,0.0196078431372549
110001,2019,6.0,366,0.01639344262295082
110002,2012,22.0,1339,0.016430171769977596
110002,2013,34.0,1654,0.020556227327690448
110002,2014,19.0,1647,0.01153612629022465
110002,2015,19.0,1783,0.01065619742007852
110002,2016,32.0,1662,0.019253910950661854
110002,2017,24.0,1724,0.013921113689095127
110002,2018,31.0,1682,0.018430439952437573
110002,2019,19.0,1729,0.01098901098901099
110003,2012,0.0,64,0.0
110003,2013,0.0,74,0.0
110003,2014,0.0,75,0.0
110003,2015,2.0,86,0.023255813953488372
110003,2016,4.0,73,0.0547945205479452
110003,2017,4.0,67,0.05970149253731343
110003,2018,2.0,82,0.024390243902439025
110003,2019,0.0,80,0.0
110004,2012,26.0,1201,0.02164862614487927
110004,2013,15.0,1185,0.012658227848101266
110004,2014,27.0,1307,0.020657995409334353
110004,2015,27.0,1360,0.019852941176470587
110004,2016,20.0,1338,0.014947683109118086
110004,2017,26.0,1452,0.01790633608815427
110004,2018,26.0,1446,0.017980636237897647
110004,2019,10.0,1374,0.00727802037845706
110005,2012,5.0,244,0.020491803278688523
110005,2013,2.0,271,0.007380073800738007
110005,2014,1.0,250,0.004
110005,2015,9.0,277,0.032490974729241874
110005,2016,6.0,263,0.022813688212927757
110005,2017,9.0,277,0.032490974729241874
110005,2018,5.0,264,0.01893939393939394
110005,2019,3.0,236,0.012711864406779662
110006,2012,2.0,214,0.009345794392523364
110006,2013,5.0,256,0.01953125
110006,2014,10.0,273,0.03663003663003663
110006,2015,5.0,251,0.0199203187250996
110006,2016,4.0,222,0.018018018018018018
110006,2017,0.0,243,0.0
110006,2018,8.0,235,0.03404255319148936
110006,2019,10.0,214,0.04672897196261682
110007,2012,2.0,116,0.017241379310344827
110007,2013,2.0,116,0.017241379310344827
110007,2014,4.0,125,0.032
110007,2015,0.0,111,0.0
110007,2016,4.0,139,0.02877697841726619
110007,2017,1.0,87,0.011494252873563218
110007,2018,1.0,129,0.007751937984496124
110007,2019,0.0,127,0.0
110008,2012,0.0,234,0.0
110008,2013,3.0,234,0.01282051282051282
110008,2014,4.0,267,0.0149812734082397
110008,2015,2.0,245,0.00816326530612245
110008,2016,3.0,213,0.014084507042253521
110008,2017,4.0,216,0.018518518518518517
110008,2018,4.0,246,0.016260162601626018
110008,2019,4.0,233,0.017167381974248927
110009,2012,8.0,476,0.01680672268907563
110009,2013,5.0,463,0.01079913606911447
110009,2014,8.0,496,0.016129032258064516
110009,2015,0.0,548,0.0
110009,2016,8.0,486,0.01646090534979424
110009,2017,9.0,533,0.016885553470919325
110009,2018,2.0,476,0.004201680672268907
110009,2019,8.0,450,0.017777777777777778
110010,2012,17.0,940,0.018085106382978722
110010,2013,3.0,879,0.0034129692832764505
110010,2014,10.0,923,0.010834236186348862
110010,2015,13.0,831,0.015643802647412757
110010,2016,8.0,884,0.00904977375565611
110010,2017,13.0,842,0.015439429928741092
110010,2018,8.0,926,0.008639308855291577
110010,2019,8.0,781,0.010243277848911651
110011,2012,15.0,808,0.018564356435643563
110011,2013,15.0,914,0.016411378555798686
110011,2014,6.0,867,0.006920415224913495
110011,2015,17.0,788,0.021573604060913704
110011,2016,14.0,807,0.01734820322180917
110011,2017,18.0,846,0.02127659574468085
110011,2018,17.0,911,0.018660812294182216
110011,2019,16.0,881,0.018161180476730987
110012,2012,19.0,2075,0.009156626506024097
110012,2013,34.0,1971,0.017250126839167934
110012,2014,32.0,1956,0.016359918200409
110012,2015,31.0,2094,0.014804202483285577
110012,2016,40.0,1975,0.020253164556962026
110012,2017,30.0,2049,0.014641288433382138
110012,2018,57.0,2278,0.02502194907813872
110012,2019,19.0,2182,0.008707607699358386
110013,2012,16.0,542,0.02952029520295203
110013,2013,11.0,514,0.021400778210116732
110013,2014,6.0,507,0.011834319526627219
110013,2015,7.0,480,0.014583333333333334
110013,2016,8.0,398,0.020100502512562814
110013,2017,6.0,449,0.013363028953229399
110013,2018,13.0,517,0.025145067698259187
110013,2019,10.0,500,0.02
110014,2012,9.0,271,0.033210332103321034
110014,2013,4.0,278,0.014388489208633094
110014,2014,2.0,254,0.007874015748031496
110014,2015,4.0,256,0.015625
110014,2016,0.0,276,0.0
110014,2017,3.0,224,0.013392857142857142
110014,2018,16.0,290,0.05517241379310345
